,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_LogisticRegression__C,param_LogisticRegression__max_iter,param_LogisticRegression__multi_class,param_LogisticRegression__solver,param_LogisticRegression__tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
66,0.0018670320510864257,8.043251035811064e-05,0.0004080057144165039,1.204429214885502e-05,0.01,50,ovr,liblinear,1e-05,"{'LogisticRegression__C': 0.01, 'LogisticRegression__max_iter': 50, 'LogisticRegression__multi_class': 'ovr', 'LogisticRegression__solver': 'liblinear', 'LogisticRegression__tol': 1e-05}",0.8666666666666667,0.7666666666666667,0.6666666666666666,0.9,0.9333333333333333,0.7333333333333333,0.8,0.8214285714285714,0.8928571428571429,0.7857142857142857,0.8163265306122449,0.07928891713238896,1,0.8257575757575758,0.8371212121212122,0.8674242424242424,0.8371212121212122,0.803030303030303,0.8446969696969697,0.8333333333333334,0.8345864661654135,0.8383458646616542,0.8270676691729323,0.8348484848484847,0.015292748714048909
67,0.0018230199813842774,8.056361350385774e-05,0.0004021883010864258,7.392091051705609e-06,0.01,50,ovr,liblinear,0.0001,"{'LogisticRegression__C': 0.01, 'LogisticRegression__max_iter': 50, 'LogisticRegression__multi_class': 'ovr', 'LogisticRegression__solver': 'liblinear', 'LogisticRegression__tol': 0.0001}",0.8666666666666667,0.7666666666666667,0.6666666666666666,0.9,0.9333333333333333,0.7333333333333333,0.8,0.8214285714285714,0.8928571428571429,0.7857142857142857,0.8163265306122449,0.07928891713238896,1,0.8257575757575758,0.8371212121212122,0.8674242424242424,0.8371212121212122,0.803030303030303,0.8446969696969697,0.8333333333333334,0.8345864661654135,0.8383458646616542,0.8270676691729323,0.8348484848484847,0.015292748714048909
68,0.0017549991607666016,9.033956508375303e-05,0.00039801597595214846,8.906266356623629e-06,0.01,50,ovr,liblinear,0.001,"{'LogisticRegression__C': 0.01, 'LogisticRegression__max_iter': 50, 'LogisticRegression__multi_class': 'ovr', 'LogisticRegression__solver': 'liblinear', 'LogisticRegression__tol': 0.001}",0.8666666666666667,0.7666666666666667,0.6666666666666666,0.9,0.9333333333333333,0.7333333333333333,0.8,0.8214285714285714,0.8928571428571429,0.7857142857142857,0.8163265306122449,0.07928891713238896,1,0.8257575757575758,0.8371212121212122,0.8674242424242424,0.8371212121212122,0.803030303030303,0.8446969696969697,0.8333333333333334,0.8345864661654135,0.8383458646616542,0.8270676691729323,0.8348484848484847,0.015292748714048909
81,0.0018854141235351562,6.78968226962351e-05,0.00040633678436279296,8.49054722815116e-06,0.01,100,ovr,liblinear,1e-05,"{'LogisticRegression__C': 0.01, 'LogisticRegression__max_iter': 100, 'LogisticRegression__multi_class': 'ovr', 'LogisticRegression__solver': 'liblinear', 'LogisticRegression__tol': 1e-05}",0.8666666666666667,0.7666666666666667,0.6666666666666666,0.9,0.9333333333333333,0.7333333333333333,0.8,0.8214285714285714,0.8928571428571429,0.7857142857142857,0.8163265306122449,0.07928891713238896,1,0.8257575757575758,0.8371212121212122,0.8674242424242424,0.8371212121212122,0.803030303030303,0.8446969696969697,0.8333333333333334,0.8345864661654135,0.8383458646616542,0.8270676691729323,0.8348484848484847,0.015292748714048909
82,0.002345418930053711,0.001515673518457995,0.00041904449462890623,2.3659533497312396e-05,0.01,100,ovr,liblinear,0.0001,"{'LogisticRegression__C': 0.01, 'LogisticRegression__max_iter': 100, 'LogisticRegression__multi_class': 'ovr', 'LogisticRegression__solver': 'liblinear', 'LogisticRegression__tol': 0.0001}",0.8666666666666667,0.7666666666666667,0.6666666666666666,0.9,0.9333333333333333,0.7333333333333333,0.8,0.8214285714285714,0.8928571428571429,0.7857142857142857,0.8163265306122449,0.07928891713238896,1,0.8257575757575758,0.8371212121212122,0.8674242424242424,0.8371212121212122,0.803030303030303,0.8446969696969697,0.8333333333333334,0.8345864661654135,0.8383458646616542,0.8270676691729323,0.8348484848484847,0.015292748714048909
83,0.0018031835556030274,4.723931291690774e-05,0.0004149198532104492,1.4531822649003474e-05,0.01,100,ovr,liblinear,0.001,"{'LogisticRegression__C': 0.01, 'LogisticRegression__max_iter': 100, 'LogisticRegression__multi_class': 'ovr', 'LogisticRegression__solver': 'liblinear', 'LogisticRegression__tol': 0.001}",0.8666666666666667,0.7666666666666667,0.6666666666666666,0.9,0.9333333333333333,0.7333333333333333,0.8,0.8214285714285714,0.8928571428571429,0.7857142857142857,0.8163265306122449,0.07928891713238896,1,0.8257575757575758,0.8371212121212122,0.8674242424242424,0.8371212121212122,0.803030303030303,0.8446969696969697,0.8333333333333334,0.8345864661654135,0.8383458646616542,0.8270676691729323,0.8348484848484847,0.015292748714048909
96,0.002146291732788086,0.000443638882838816,0.0004334211349487305,2.6097513738483877e-05,0.01,150,ovr,liblinear,1e-05,"{'LogisticRegression__C': 0.01, 'LogisticRegression__max_iter': 150, 'LogisticRegression__multi_class': 'ovr', 'LogisticRegression__solver': 'liblinear', 'LogisticRegression__tol': 1e-05}",0.8666666666666667,0.7666666666666667,0.6666666666666666,0.9,0.9333333333333333,0.7333333333333333,0.8,0.8214285714285714,0.8928571428571429,0.7857142857142857,0.8163265306122449,0.07928891713238896,1,0.8257575757575758,0.8371212121212122,0.8674242424242424,0.8371212121212122,0.803030303030303,0.8446969696969697,0.8333333333333334,0.8345864661654135,0.8383458646616542,0.8270676691729323,0.8348484848484847,0.015292748714048909
97,0.0022324323654174805,0.0009925205388978922,0.00041942596435546876,1.615795621639497e-05,0.01,150,ovr,liblinear,0.0001,"{'LogisticRegression__C': 0.01, 'LogisticRegression__max_iter': 150, 'LogisticRegression__multi_class': 'ovr', 'LogisticRegression__solver': 'liblinear', 'LogisticRegression__tol': 0.0001}",0.8666666666666667,0.7666666666666667,0.6666666666666666,0.9,0.9333333333333333,0.7333333333333333,0.8,0.8214285714285714,0.8928571428571429,0.7857142857142857,0.8163265306122449,0.07928891713238896,1,0.8257575757575758,0.8371212121212122,0.8674242424242424,0.8371212121212122,0.803030303030303,0.8446969696969697,0.8333333333333334,0.8345864661654135,0.8383458646616542,0.8270676691729323,0.8348484848484847,0.015292748714048909
98,0.001905202865600586,8.018219216747265e-05,0.00042731761932373046,1.7060861029058354e-05,0.01,150,ovr,liblinear,0.001,"{'LogisticRegression__C': 0.01, 'LogisticRegression__max_iter': 150, 'LogisticRegression__multi_class': 'ovr', 'LogisticRegression__solver': 'liblinear', 'LogisticRegression__tol': 0.001}",0.8666666666666667,0.7666666666666667,0.6666666666666666,0.9,0.9333333333333333,0.7333333333333333,0.8,0.8214285714285714,0.8928571428571429,0.7857142857142857,0.8163265306122449,0.07928891713238896,1,0.8257575757575758,0.8371212121212122,0.8674242424242424,0.8371212121212122,0.803030303030303,0.8446969696969697,0.8333333333333334,0.8345864661654135,0.8383458646616542,0.8270676691729323,0.8348484848484847,0.015292748714048909
111,0.0019842147827148437,8.26456743214758e-05,0.00044443607330322263,5.984453089309035e-05,0.01,200,ovr,liblinear,1e-05,"{'LogisticRegression__C': 0.01, 'LogisticRegression__max_iter': 200, 'LogisticRegression__multi_class': 'ovr', 'LogisticRegression__solver': 'liblinear', 'LogisticRegression__tol': 1e-05}",0.8666666666666667,0.7666666666666667,0.6666666666666666,0.9,0.9333333333333333,0.7333333333333333,0.8,0.8214285714285714,0.8928571428571429,0.7857142857142857,0.8163265306122449,0.07928891713238896,1,0.8257575757575758,0.8371212121212122,0.8674242424242424,0.8371212121212122,0.803030303030303,0.8446969696969697,0.8333333333333334,0.8345864661654135,0.8383458646616542,0.8270676691729323,0.8348484848484847,0.015292748714048909
