,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_GaussianNB__var_smoothing,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
2,2.0172847509384155,1.0109433383335638,0.09692294597625732,0.03192664567266287,1e-09,{'GaussianNB__var_smoothing': 1e-09},0.5118821292775665,0.5211501901140685,0.5254277566539924,0.5201996197718631,0.5199619771863118,0.5368346007604563,0.5228136882129277,0.5116444866920152,0.5249524714828897,0.5204372623574145,0.5215304182509506,0.006776106530599551,1,0.5244243768483312,0.5247148288973384,0.52698563582594,0.5241075200675961,0.522391212505281,0.523104140261935,0.5254541613857203,0.5247412336290663,0.5241075200675961,0.5241339247993241,0.5244164554288129,0.001181802758031314
3,3.2000760555267336,1.6402703994567247,0.1834425926208496,0.09074214784182452,1e-08,{'GaussianNB__var_smoothing': 1e-08},0.5133079847908745,0.5204372623574145,0.526615969581749,0.5204372623574145,0.5190114068441065,0.5389733840304183,0.5221007604562737,0.5111692015209125,0.5237642585551331,0.5187737642585551,0.5214591254752852,0.007257287076504245,2,0.5257974228981833,0.5243979721166033,0.5259558512885509,0.5235266159695817,0.5222591888466414,0.5229193071398395,0.5243979721166033,0.5251373046049852,0.5246884241656105,0.5242395437262357,0.5243319602872833,0.0011188411142206457
4,2.642364478111267,1.4595973220276726,0.11725921630859375,0.050097380361334674,1e-07,{'GaussianNB__var_smoothing': 1e-07},0.5118821292775665,0.5211501901140685,0.5251901140684411,0.5194866920152091,0.5187737642585551,0.5392110266159695,0.5211501901140685,0.5128326996197718,0.5242395437262357,0.5192490494296578,0.5213165399239543,0.007203393265117728,3,0.5245564005069708,0.5243979721166033,0.5268008027038446,0.5228929024081115,0.5227080692860161,0.5238962822137727,0.5242923531896916,0.525216518800169,0.5248996620194338,0.5242395437262357,0.5243900506970849,0.0011013052439813428
1,3.416896104812622,1.5702426173759045,0.12745146751403807,0.06112309113266625,1e-10,{'GaussianNB__var_smoothing': 1e-10},0.5118821292775665,0.5206749049429658,0.5251901140684411,0.5171102661596958,0.5197243346007605,0.5354087452471483,0.5228136882129277,0.5130703422053232,0.5251901140684411,0.5209125475285171,0.5211977186311787,0.006391481168826719,4,0.5238698774820448,0.5244243768483312,0.5258502323616392,0.5234738065061258,0.5222591888466414,0.5229985213350232,0.5251637093367132,0.5240811153358682,0.5242395437262357,0.5241075200675961,0.5240467891846218,0.0009663590716704576
0,4.346264815330505,1.3629125238032245,0.20182228088378906,0.044914905939485376,1e-11,{'GaussianNB__var_smoothing': 1e-11},0.5125950570342205,0.5211501901140685,0.5218631178707225,0.5159220532319392,0.5201996197718631,0.5346958174904943,0.5225760456273765,0.5135456273764258,0.5240019011406845,0.5209125475285171,0.5207461977186312,0.005931598923161516,5,0.5239754964089565,0.5231305449936628,0.5255333755809041,0.5224176172370089,0.5222327841149134,0.5219687367976341,0.5246356147021546,0.5236058301647655,0.5237378538234052,0.5228664976763836,0.5234104351499789,0.0010629142682680394
