,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_GaussianNB__var_smoothing,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
4,0.015808916091918944,0.00740887650972989,0.009110832214355468,0.008606488755891397,1e-07,{'GaussianNB__var_smoothing': 1e-07},0.3469387755102041,0.35403726708074534,0.33895297249334516,0.323868677905945,0.2919254658385093,0.3125,0.3151785714285714,0.33125,0.35267857142857145,0.32857142857142857,0.329595015576324,0.018651170794382884,1,0.3304313415116739,0.3272655322516818,0.3352789869410368,0.3322121092204195,0.3423031262366442,0.3367276322293623,0.3429560059317845,0.33791398912506176,0.3259515570934256,0.33643104300543747,0.3347471323546528,0.005476653285146337
3,0.028191685676574707,0.014474333673328333,0.009792304039001465,0.00991435526224128,1e-08,{'GaussianNB__var_smoothing': 1e-08},0.33451641526175685,0.33451641526175685,0.3203194321206744,0.3105590062111801,0.27506654835847383,0.29910714285714285,0.30089285714285713,0.31607142857142856,0.3267857142857143,0.31607142857142856,0.3133956386292835,0.017254500198424044,2,0.31301939058171746,0.3076770874554808,0.31677878907795803,0.31618519984170956,0.3258804907004353,0.3222936233316856,0.3248640632723678,0.3197231833910035,0.30954028670291645,0.3198220464656451,0.3175784160820919,0.005829967258085572
2,0.020343708992004394,0.007573141249787972,0.011850929260253907,0.009322878274545534,1e-09,{'GaussianNB__var_smoothing': 1e-09},0.31410825199645076,0.3203194321206744,0.30434782608695654,0.29281277728482696,0.2653061224489796,0.2839285714285714,0.28660714285714284,0.30714285714285716,0.3107142857142857,0.30357142857142855,0.2988874054294615,0.015792261786225437,3,0.29689354966363274,0.29303521962801743,0.2994657696873763,0.3020379897111199,0.31074396517609815,0.3060800790904597,0.3137913989125062,0.30489372219476024,0.2948096885813149,0.30519031141868513,0.30269416940639704,0.006406571088256604
1,0.03505973815917969,0.014946718134164204,0.010805273056030273,0.010446004987274188,1e-10,{'GaussianNB__var_smoothing': 1e-10},0.29281277728482696,0.3052351375332742,0.2857142857142857,0.2706299911268855,0.2466725820763088,0.2544642857142857,0.26964285714285713,0.2767857142857143,0.29285714285714287,0.275,0.27699154428126394,0.017043940945770823,4,0.2757222002374357,0.2734467748318164,0.2799762564305501,0.2809655718242976,0.28897902651365254,0.2833415719228868,0.2903608502224419,0.28383588729609494,0.2736529906080079,0.28274839347503705,0.2813029523362221,0.005539754862432012
0,0.16761746406555175,0.044587716032254136,0.011423325538635254,0.01390079006640732,1e-11,{'GaussianNB__var_smoothing': 1e-11},0.28127772848269744,0.28926353149955636,0.27506654835847383,0.25998225377107365,0.22803904170363798,0.24464285714285713,0.26607142857142857,0.26517857142857143,0.28125,0.26339285714285715,0.26542056074766357,0.017412532394410915,5,0.2629600316580926,0.26117926394934704,0.26701622477245746,0.2681044717055797,0.276414721013059,0.2736529906080079,0.2782995551161641,0.27118141374196736,0.26089965397923875,0.2730598121601582,0.2692768138704072,0.005929439997504012
