,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_LogisticRegression__C,param_LogisticRegression__max_iter,param_LogisticRegression__multi_class,param_LogisticRegression__solver,param_LogisticRegression__tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
60,0.4617878198623657,0.026467110926433803,0.0007702112197875977,3.71678047963236e-05,0.01,50,ovr,newton-cg,1e-05,"{'LogisticRegression__C': 0.01, 'LogisticRegression__max_iter': 50, 'LogisticRegression__multi_class': 'ovr', 'LogisticRegression__solver': 'newton-cg', 'LogisticRegression__tol': 1e-05}",0.32727272727272727,0.34935064935064936,0.36233766233766235,0.35194805194805195,0.3211009174311927,0.31847968545216254,0.3394495412844037,0.3394495412844037,0.3709043250327654,0.32503276539973786,0.34055889266126926,0.016987045445242484,1,0.3397212543554007,0.3405923344947735,0.34668989547038326,0.35031939605110335,0.34532269760696155,0.3508339376359681,0.35054387237128354,0.3448875997099347,0.34140681653372007,0.3477882523567803,0.34581060565863087,0.003967934121242954
61,0.41937248706817626,0.05110448076946268,0.000763845443725586,2.7381997548043776e-05,0.01,50,ovr,newton-cg,0.0001,"{'LogisticRegression__C': 0.01, 'LogisticRegression__max_iter': 50, 'LogisticRegression__multi_class': 'ovr', 'LogisticRegression__solver': 'newton-cg', 'LogisticRegression__tol': 0.0001}",0.32727272727272727,0.34935064935064936,0.36233766233766235,0.35194805194805195,0.3211009174311927,0.31847968545216254,0.3394495412844037,0.3394495412844037,0.3709043250327654,0.32503276539973786,0.34055889266126926,0.016987045445242484,1,0.3397212543554007,0.3405923344947735,0.34668989547038326,0.35031939605110335,0.34532269760696155,0.3508339376359681,0.35054387237128354,0.3448875997099347,0.34140681653372007,0.3477882523567803,0.34581060565863087,0.003967934121242954
62,0.39793131351470945,0.0676931778924243,0.0007884025573730469,0.00010888708845520014,0.01,50,ovr,newton-cg,0.001,"{'LogisticRegression__C': 0.01, 'LogisticRegression__max_iter': 50, 'LogisticRegression__multi_class': 'ovr', 'LogisticRegression__solver': 'newton-cg', 'LogisticRegression__tol': 0.001}",0.32727272727272727,0.34935064935064936,0.36233766233766235,0.35194805194805195,0.3211009174311927,0.31847968545216254,0.3394495412844037,0.3394495412844037,0.3709043250327654,0.32503276539973786,0.34055889266126926,0.016987045445242484,1,0.3397212543554007,0.3405923344947735,0.34668989547038326,0.35031939605110335,0.34532269760696155,0.3508339376359681,0.35054387237128354,0.3448875997099347,0.34140681653372007,0.3477882523567803,0.34581060565863087,0.003967934121242954
63,0.2357642650604248,0.012217512807968664,0.0007632255554199218,3.361089799483453e-05,0.01,50,ovr,lbfgs,1e-05,"{'LogisticRegression__C': 0.01, 'LogisticRegression__max_iter': 50, 'LogisticRegression__multi_class': 'ovr', 'LogisticRegression__solver': 'lbfgs', 'LogisticRegression__tol': 1e-05}",0.32727272727272727,0.34935064935064936,0.36233766233766235,0.35194805194805195,0.3211009174311927,0.31847968545216254,0.3394495412844037,0.3394495412844037,0.3709043250327654,0.32503276539973786,0.34055889266126926,0.016987045445242484,1,0.3397212543554007,0.3405923344947735,0.34668989547038326,0.35031939605110335,0.34532269760696155,0.3508339376359681,0.35054387237128354,0.3448875997099347,0.34140681653372007,0.3477882523567803,0.34581060565863087,0.003967934121242954
64,0.21839399337768556,0.00846426833253648,0.0007528305053710937,3.860514389923622e-05,0.01,50,ovr,lbfgs,0.0001,"{'LogisticRegression__C': 0.01, 'LogisticRegression__max_iter': 50, 'LogisticRegression__multi_class': 'ovr', 'LogisticRegression__solver': 'lbfgs', 'LogisticRegression__tol': 0.0001}",0.32727272727272727,0.34935064935064936,0.36233766233766235,0.35194805194805195,0.3211009174311927,0.31847968545216254,0.3394495412844037,0.3394495412844037,0.3709043250327654,0.32503276539973786,0.34055889266126926,0.016987045445242484,1,0.3397212543554007,0.3405923344947735,0.34668989547038326,0.35031939605110335,0.34532269760696155,0.3508339376359681,0.35054387237128354,0.3448875997099347,0.34140681653372007,0.3477882523567803,0.34581060565863087,0.003967934121242954
65,0.23221237659454347,0.013764161572653859,0.0007685184478759766,2.424992392844946e-05,0.01,50,ovr,lbfgs,0.001,"{'LogisticRegression__C': 0.01, 'LogisticRegression__max_iter': 50, 'LogisticRegression__multi_class': 'ovr', 'LogisticRegression__solver': 'lbfgs', 'LogisticRegression__tol': 0.001}",0.32727272727272727,0.34935064935064936,0.36233766233766235,0.35194805194805195,0.3211009174311927,0.31847968545216254,0.3394495412844037,0.3394495412844037,0.3709043250327654,0.32503276539973786,0.34055889266126926,0.016987045445242484,1,0.3397212543554007,0.3405923344947735,0.34668989547038326,0.35031939605110335,0.34532269760696155,0.3508339376359681,0.35054387237128354,0.3448875997099347,0.34140681653372007,0.3477882523567803,0.34581060565863087,0.003967934121242954
69,0.558163070678711,0.07724570382114952,0.0007593870162963867,2.816377429769335e-05,0.01,50,ovr,sag,1e-05,"{'LogisticRegression__C': 0.01, 'LogisticRegression__max_iter': 50, 'LogisticRegression__multi_class': 'ovr', 'LogisticRegression__solver': 'sag', 'LogisticRegression__tol': 1e-05}",0.32727272727272727,0.34935064935064936,0.36233766233766235,0.35194805194805195,0.3211009174311927,0.31847968545216254,0.3394495412844037,0.3394495412844037,0.3709043250327654,0.32503276539973786,0.34055889266126926,0.016987045445242484,1,0.3397212543554007,0.3405923344947735,0.34668989547038326,0.35031939605110335,0.34532269760696155,0.3508339376359681,0.35054387237128354,0.3448875997099347,0.34140681653372007,0.3477882523567803,0.34581060565863087,0.003967934121242954
70,0.46510074138641355,0.07454624809910239,0.0007737874984741211,3.752821280783425e-05,0.01,50,ovr,sag,0.0001,"{'LogisticRegression__C': 0.01, 'LogisticRegression__max_iter': 50, 'LogisticRegression__multi_class': 'ovr', 'LogisticRegression__solver': 'sag', 'LogisticRegression__tol': 0.0001}",0.32727272727272727,0.34935064935064936,0.36233766233766235,0.35194805194805195,0.3211009174311927,0.31847968545216254,0.3394495412844037,0.3394495412844037,0.3709043250327654,0.32503276539973786,0.34055889266126926,0.016987045445242484,1,0.3397212543554007,0.3405923344947735,0.34668989547038326,0.35031939605110335,0.34532269760696155,0.3508339376359681,0.35054387237128354,0.3448875997099347,0.34140681653372007,0.3477882523567803,0.34581060565863087,0.003967934121242954
72,0.6418586254119873,0.06432066292898005,0.0007809638977050781,3.2576075450634125e-05,0.01,50,ovr,saga,1e-05,"{'LogisticRegression__C': 0.01, 'LogisticRegression__max_iter': 50, 'LogisticRegression__multi_class': 'ovr', 'LogisticRegression__solver': 'saga', 'LogisticRegression__tol': 1e-05}",0.32727272727272727,0.34935064935064936,0.36233766233766235,0.35194805194805195,0.3211009174311927,0.31847968545216254,0.3394495412844037,0.3394495412844037,0.3709043250327654,0.32503276539973786,0.34055889266126926,0.016987045445242484,1,0.3397212543554007,0.3405923344947735,0.34668989547038326,0.35031939605110335,0.34532269760696155,0.3508339376359681,0.35054387237128354,0.3448875997099347,0.34140681653372007,0.3477882523567803,0.34581060565863087,0.003967934121242954
73,0.5767019748687744,0.06868724594514593,0.0007666826248168945,2.8813563442653774e-05,0.01,50,ovr,saga,0.0001,"{'LogisticRegression__C': 0.01, 'LogisticRegression__max_iter': 50, 'LogisticRegression__multi_class': 'ovr', 'LogisticRegression__solver': 'saga', 'LogisticRegression__tol': 0.0001}",0.32727272727272727,0.34935064935064936,0.36233766233766235,0.35194805194805195,0.3211009174311927,0.31847968545216254,0.3394495412844037,0.3394495412844037,0.3709043250327654,0.32503276539973786,0.34055889266126926,0.016987045445242484,1,0.3397212543554007,0.3405923344947735,0.34668989547038326,0.35031939605110335,0.34532269760696155,0.3508339376359681,0.35054387237128354,0.3448875997099347,0.34140681653372007,0.3477882523567803,0.34581060565863087,0.003967934121242954
