,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_GaussianNB__var_smoothing,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
4,0.009397029876708984,0.0010872696858926,0.002335786819458008,0.0001359810077311955,1e-07,{'GaussianNB__var_smoothing': 1e-07},0.21188878235858102,0.21764141898370087,0.21380632790028764,0.20901246404602108,0.1965484180249281,0.2080536912751678,0.20134228187919462,0.20517737296260785,0.2080536912751678,0.20613614573346117,0.2077660594439118,0.0057374359732990194,1,0.20613614573346117,0.20720144881218708,0.20762757004367743,0.20826675189091295,0.20943858527751144,0.20879940343027592,0.20943858527751144,0.20943858527751144,0.20826675189091295,0.20879940343027592,0.20834132310642378,0.0010350996957942833
3,0.015370655059814452,0.012467198268095246,0.003008723258972168,0.00140991163948035,1e-08,{'GaussianNB__var_smoothing': 1e-08},0.2080536912751678,0.21572387344199426,0.20230105465004794,0.20613614573346117,0.19079578139980824,0.20421860019175456,0.20134228187919462,0.20038350910834132,0.1975071907957814,0.20230105465004794,0.20287631831255992,0.0062312854493852075,2,0.20208799403430275,0.2027271758815383,0.20080963033983168,0.20443166080749972,0.20219452434217536,0.20539043357835304,0.2056034941940982,0.20592308511771598,0.20102269095557687,0.20528390327048046,0.2035474592521572,0.001885947534459089
2,0.010159063339233398,0.0025666996615573592,0.0032654762268066405,0.0014702776831970507,1e-09,{'GaussianNB__var_smoothing': 1e-09},0.19367209971236818,0.19942473633748803,0.18312559923298177,0.19175455417066156,0.1840843720038351,0.18983700862895495,0.186960690316395,0.18791946308724833,0.18983700862895495,0.19271332694151486,0.18993288590604027,0.004567020273754388,3,0.18728028124001278,0.1881325237029935,0.19036966016831788,0.19292638755726005,0.1902631298604453,0.1933525087887504,0.19377863002024076,0.19068925109193566,0.1894108873974646,0.19303291786513263,0.19092361776925532,0.002160123645225083
1,0.010302066802978516,0.0015718974420510564,0.004454898834228516,0.003007554057253897,1e-10,{'GaussianNB__var_smoothing': 1e-10},0.18887823585810162,0.19367209971236818,0.18024928092042186,0.1860019175455417,0.17929050814956854,0.1860019175455417,0.18216682646212848,0.1850431447746884,0.18791946308724833,0.18887823585810162,0.18581016299137104,0.004152714827940121,4,0.18429743261958026,0.1850431447746884,0.18674762970064984,0.1861084478534143,0.18674762970064984,0.18642803877703207,0.18706722062426762,0.18685416000852242,0.18578885692979652,0.1861084478534143,0.18611910088420153,0.0008312777745775883
0,0.010865736007690429,0.002679265093212589,0.0039928674697875975,0.0031387536261972345,1e-11,{'GaussianNB__var_smoothing': 1e-11},0.18887823585810162,0.19175455417066156,0.18024928092042186,0.1860019175455417,0.17929050814956854,0.1850431447746884,0.18120805369127516,0.1840843720038351,0.186960690316395,0.18791946308724833,0.18513902205177374,0.0037977569166516545,5,0.18365825077234474,0.18461702354319803,0.1861084478534143,0.18557579631405136,0.1861084478534143,0.1860019175455417,0.18653456908490465,0.18632150846915949,0.18525620539043358,0.18546926600617875,0.1855651432832641,0.0008326418676752581
